"District","Area Bucket","Avg sqm price"
"Bienczyce","<30","16164"
"Bienczyce","30-50","14566"
"Bienczyce","50-70","13632"
"Bienczyce",">=70","13710"
"Biezanow--Prokocim","<30","14356"
"Biezanow--Prokocim","30-50","14502"
"Biezanow--Prokocim","50-70","13424"
"Biezanow--Prokocim",">=70","12714"
"Bronowice","<30","17971"
"Bronowice","30-50","17138"
"Bronowice","50-70","16541"
"Bronowice",">=70","16954"
"Czyzyny","<30","20081"
"Czyzyny","30-50","17275"
"Czyzyny","50-70","15285"
"Czyzyny",">=70","16676"
"Debniki","<30","19079"
"Debniki","30-50","16396"
"Debniki","50-70","15189"
"Debniki",">=70","15148"
"Grzegorzki","<30","19714"
"Grzegorzki","30-50","20299"
"Grzegorzki","50-70","19201"
"Grzegorzki",">=70","22954"
"Krowodrza","<30","19517"
"Krowodrza","30-50","18584"
"Krowodrza","50-70","18225"
"Krowodrza",">=70","18364"
"Lagiewniki--Borek-Falecki","<30","12263"
"Lagiewniki--Borek-Falecki","30-50","15079"
"Lagiewniki--Borek-Falecki","50-70","13950"
"Lagiewniki--Borek-Falecki",">=70","13814"
"Mistrzejowice","<30","15351"
"Mistrzejowice","30-50","14869"
"Mistrzejowice","50-70","13553"
"Mistrzejowice",">=70","12116"
"Nowa-Huta","<30","18917"
"Nowa-Huta","30-50","13613"
"Nowa-Huta","50-70","13351"
"Nowa-Huta",">=70","13780"
"Podgorze","<30","20529"
"Podgorze","30-50","18178"
"Podgorze","50-70","16842"
"Podgorze",">=70","16687"
"Podgorze-Duchackie","<30","15775"
"Podgorze-Duchackie","30-50","15761"
"Podgorze-Duchackie","50-70","14177"
"Podgorze-Duchackie",">=70","13722"
"Pradnik-Bialy","<30","18170"
"Pradnik-Bialy","30-50","16385"
"Pradnik-Bialy","50-70","14830"
"Pradnik-Bialy",">=70","14099"
"Pradnik-Czerwony","<30","18068"
"Pradnik-Czerwony","30-50","16556"
"Pradnik-Czerwony","50-70","15205"
"Pradnik-Czerwony",">=70","16770"
"Stare-Miasto","<30","22828"
"Stare-Miasto","30-50","22410"
"Stare-Miasto","50-70","21720"
"Stare-Miasto",">=70","21359"
"Swoszowice","<30","13117"
"Swoszowice","30-50","14307"
"Swoszowice","50-70","13427"
"Swoszowice",">=70","11997"
"Wzgorza-Krzeslawickie","<30","14757"
"Wzgorza-Krzeslawickie","30-50","13375"
"Wzgorza-Krzeslawickie","50-70","12725"
"Wzgorza-Krzeslawickie",">=70","11112"
"Zwierzyniec","<30","24183"
"Zwierzyniec","30-50","20527"
"Zwierzyniec","50-70","20243"
"Zwierzyniec",">=70","19557"
