"District","Area Bucket","Ad Count"
"Bienczyce","<30","20"
"Bienczyce","30-50","174"
"Bienczyce","50-70","44"
"Bienczyce",">=70","4"
"Biezanow--Prokocim","<30","58"
"Biezanow--Prokocim","30-50","221"
"Biezanow--Prokocim","50-70","230"
"Biezanow--Prokocim",">=70","71"
"Bronowice","<30","10"
"Bronowice","30-50","99"
"Bronowice","50-70","92"
"Bronowice",">=70","93"
"Czyzyny","<30","23"
"Czyzyny","30-50","141"
"Czyzyny","50-70","164"
"Czyzyny",">=70","59"
"Debniki","<30","22"
"Debniki","30-50","308"
"Debniki","50-70","392"
"Debniki",">=70","184"
"Grzegorzki","<30","53"
"Grzegorzki","30-50","272"
"Grzegorzki","50-70","146"
"Grzegorzki",">=70","115"
"Krowodrza","<30","40"
"Krowodrza","30-50","194"
"Krowodrza","50-70","125"
"Krowodrza",">=70","135"
"Lagiewniki--Borek-Falecki","<30","18"
"Lagiewniki--Borek-Falecki","30-50","41"
"Lagiewniki--Borek-Falecki","50-70","37"
"Lagiewniki--Borek-Falecki",">=70","19"
"Mistrzejowice","<30","15"
"Mistrzejowice","30-50","233"
"Mistrzejowice","50-70","156"
"Mistrzejowice",">=70","47"
"Nowa-Huta","<30","14"
"Nowa-Huta","30-50","219"
"Nowa-Huta","50-70","113"
"Nowa-Huta",">=70","29"
"Podgorze","<30","75"
"Podgorze","30-50","631"
"Podgorze","50-70","593"
"Podgorze",">=70","244"
"Podgorze-Duchackie","<30","23"
"Podgorze-Duchackie","30-50","170"
"Podgorze-Duchackie","50-70","234"
"Podgorze-Duchackie",">=70","115"
"Pradnik-Bialy","<30","44"
"Pradnik-Bialy","30-50","616"
"Pradnik-Bialy","50-70","709"
"Pradnik-Bialy",">=70","340"
"Pradnik-Czerwony","<30","32"
"Pradnik-Czerwony","30-50","167"
"Pradnik-Czerwony","50-70","178"
"Pradnik-Czerwony",">=70","80"
"Stare-Miasto","<30","111"
"Stare-Miasto","30-50","282"
"Stare-Miasto","50-70","172"
"Stare-Miasto",">=70","250"
"Swoszowice","<30","21"
"Swoszowice","30-50","63"
"Swoszowice","50-70","52"
"Swoszowice",">=70","55"
"Wzgorza-Krzeslawickie","<30","15"
"Wzgorza-Krzeslawickie","30-50","48"
"Wzgorza-Krzeslawickie","50-70","42"
"Wzgorza-Krzeslawickie",">=70","11"
"Zwierzyniec","<30","2"
"Zwierzyniec","30-50","35"
"Zwierzyniec","50-70","68"
"Zwierzyniec",">=70","177"
