"District","Room Bucket","Avg sqm price"
"Bienczyce","1","15248"
"Bienczyce","2","14447"
"Bienczyce","3","14522"
"Bienczyce","4+","13543"
"Bienczyce","Unknown","12288"
"Biezanow--Prokocim","1","14449"
"Biezanow--Prokocim","2","14368"
"Biezanow--Prokocim","3","13479"
"Biezanow--Prokocim","4+","13069"
"Biezanow--Prokocim","Unknown","12035"
"Bronowice","1","17344"
"Bronowice","2","17538"
"Bronowice","3","16824"
"Bronowice","4+","16350"
"Czyzyny","1","18281"
"Czyzyny","2","17187"
"Czyzyny","3","15414"
"Czyzyny","4+","17114"
"Czyzyny","Unknown","12288"
"Debniki","1","17133"
"Debniki","2","16040"
"Debniki","3","15472"
"Debniki","4+","14746"
"Grzegorzki","1","20554"
"Grzegorzki","2","20118"
"Grzegorzki","3","19723"
"Grzegorzki","4+","22991"
"Grzegorzki","Unknown","11344"
"Krowodrza","1","19457"
"Krowodrza","2","18508"
"Krowodrza","3","17780"
"Krowodrza","4+","19343"
"Krowodrza","Unknown","12052"
"Lagiewniki--Borek-Falecki","1","12232"
"Lagiewniki--Borek-Falecki","2","14823"
"Lagiewniki--Borek-Falecki","3","14170"
"Lagiewniki--Borek-Falecki","4+","14134"
"Mistrzejowice","1","14659"
"Mistrzejowice","2","15023"
"Mistrzejowice","3","13770"
"Mistrzejowice","4+","12710"
"Nowa-Huta","1","15437"
"Nowa-Huta","2","13581"
"Nowa-Huta","3","13103"
"Nowa-Huta","4+","14323"
"Nowa-Huta","Unknown","13490"
"Podgorze","1","19437"
"Podgorze","2","18089"
"Podgorze","3","16955"
"Podgorze","4+","16617"
"Podgorze","Unknown","18234"
"Podgorze-Duchackie","1","15135"
"Podgorze-Duchackie","2","15686"
"Podgorze-Duchackie","3","14283"
"Podgorze-Duchackie","4+","13737"
"Podgorze-Duchackie","Unknown","12716"
"Pradnik-Bialy","1","17047"
"Pradnik-Bialy","2","16287"
"Pradnik-Bialy","3","14882"
"Pradnik-Bialy","4+","14135"
"Pradnik-Bialy","Unknown","12999"
"Pradnik-Czerwony","1","17715"
"Pradnik-Czerwony","2","16199"
"Pradnik-Czerwony","3","15557"
"Pradnik-Czerwony","4+","16617"
"Pradnik-Czerwony","Unknown","13578"
"Stare-Miasto","1","22065"
"Stare-Miasto","2","22430"
"Stare-Miasto","3","21561"
"Stare-Miasto","4+","21718"
"Stare-Miasto","Unknown","13378"
"Swoszowice","1","12965"
"Swoszowice","2","13887"
"Swoszowice","3","13993"
"Swoszowice","4+","11263"
"Wzgorza-Krzeslawickie","1","14630"
"Wzgorza-Krzeslawickie","2","13268"
"Wzgorza-Krzeslawickie","3","12800"
"Wzgorza-Krzeslawickie","4+","11501"
"Zwierzyniec","1","20166"
"Zwierzyniec","2","20822"
"Zwierzyniec","3","21601"
"Zwierzyniec","4+","18438"
"Zwierzyniec","Unknown","15935"
