"District","Floor","Separate Kitchen","Elevator","Garden","Parking","Cellar","Balcony","Airconditioning"
"Bienczyce",2,"0.35","0.45","0.01","0.31","0.80","0.34","0.03"
"Biezanow--Prokocim",1,"0.31","0.52","0.01","0.58","0.37","0.07","0.08"
"Bronowice",0,"0.22","0.58","0.15","0.70","0.27","0.64","0.09"
"Czyzyny",1,"0.16","0.85","0.00","0.70","0.26","0.00","0.13"
"Debniki",1,"0.13","0.65","0.17","0.77","0.15","0.64","0.14"
"Grzegorzki",2,"0.22","0.58","0.00","0.54","0.34","0.00","0.19"
"Krowodrza",1,"0.26","0.54","0.01","0.52","0.34","0.09","0.14"
"Lagiewniki--Borek-Falecki",1,"0.17","0.34","0.11","0.53","0.27","0.59","0.09"
"Mistrzejowice",1,"0.22","0.69","0.01","0.65","0.34","0.07","0.14"
"Nowa-Huta",0,"0.27","0.38","0.00","0.47","0.59","0.00","0.07"
"Podgorze",1,"0.08","0.76","0.00","0.77","0.15","0.00","0.14"
"Podgorze-Duchackie",1,"0.25","0.61","0.12","0.62","0.36","0.64","0.08"
"Pradnik-Bialy",1,"0.13","0.71","0.00","0.82","0.17","0.00","0.15"
"Pradnik-Czerwony",0,"0.32","0.65","0.00","0.61","0.35","0.00","0.09"
"Stare-Miasto",2,"0.17","0.41","0.00","0.30","0.26","0.00","0.18"
"Swoszowice",1,"0.18","0.10","0.03","0.59","0.15","0.09","0.19"
"Wzgorza-Krzeslawickie",0,"0.34","0.37","0.00","0.56","0.52","0.00","0.07"
"Zwierzyniec",0,"0.13","0.29","0.01","0.66","0.18","0.03","0.30"
